"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 19:53:34 BRT 2021","Fri Aug 06 19:53:38 BRT 2021","3319","","Nasa Rover Mars Photos Api","","Get first Mars photos","","Get first Mars photos",""
"passed","Fri Aug 06 19:53:38 BRT 2021","Fri Aug 06 19:53:40 BRT 2021","1845","","Nasa Rover Mars Photos Api","","Get first Mars photos","","Get first Mars photos",""
"passed","Fri Aug 06 19:53:40 BRT 2021","Fri Aug 06 19:53:43 BRT 2021","3423","","Nasa Rover Mars Photos Api","","Retrieve and compare the first 10 Mars photos made by ""Curiosity"" on 1000 sol and on Earth date equal to 1000 Martian sol.","","Retrieve and compare the first 10 Mars photos made by ""Curiosity"" on 1000 sol and on Earth date equal to 1000 Martian sol.",""
"failed","Fri Aug 06 19:53:43 BRT 2021","Fri Aug 06 19:53:45 BRT 2021","1678","","Nasa Rover Mars Photos Api","","Validate that the amounts of pictures that each ""Curiosity"" camera took on 1000 Mars sol is not greater than 10 times the amount taken by other cameras on the same date.","","Validate that the amounts of pictures that each ""Curiosity"" camera took on 1000 Mars sol is not greater than 10 times the amount taken by other cameras on the same date.",""
